,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
132,I,6,GPi,10,299.7765,30.373,0.1605,19.9365,192762.8065,0.192762807,54.06222562,GG,F,SAL
133,I,6,ILA,7.5,267.987,31.363,0.2455,18.6675,121336.277,0.121336277,65.87775549,GG,F,SAL
134,I,6,LH,1,30.193,30.193,0.11,18.839,27445.731,0.027445731,36.43553892,GG,F,SAL
135,I,6,LHA,10.33333333,421.269,40.34233333,0.121666667,21.06233333,344671.17,0.34467117,30.23755137,GG,F,SAL
136,I,6,MH,0.666666667,20.129,30.193,0.045666667,17.371,43642.293,0.043642293,15.15884204,GG,F,SAL
137,I,6,PAG,65.66666667,2627.529333,39.887,0.213333333,21.53366667,1226220.703,1.226220703,53.28529534,GG,F,SAL
138,I,6,PALv,5.666666667,219.98,38.82,0.032666667,21.932,576575.72,0.57657572,8.403629496,GG,F,SAL
139,I,6,PL,33,1297.234,38.958,0.616,22.0005,208688.266,0.208688266,157.9045792,GG,F,SAL
140,I,6,PVT,48.66666667,2238.619667,45.447,1.018,23.44333333,240755.8137,0.240755814,218.7026929,GG,F,SAL
141,I,6,SNc,3.333333333,122.5436667,33.68633333,0.048333333,19.73733333,251997.7347,0.251997735,13.24053246,GG,F,SAL
142,I,6,SNr,0.333333333,12.73166667,38.195,0.002,19.821,512952.305,0.512952305,0.486240279,GG,F,SAL
143,I,6,VTA,2.666666667,82.757,30.50333333,0.039,20.44866667,208820.9493,0.208820949,12.96310259,GG,F,SAL
144,I,7,ACAd,34.25,1279.5645,37.81475,0.95575,21.98375,129725.5958,0.129725596,255.0125632,AA,F,Chronic
145,I,7,ACAv,44.33333333,1871.982667,42.24866667,1.110666667,23.42833333,170399.4977,0.170399498,262.8063305,AA,F,Chronic
146,I,7,ACB,29.33333333,1081.764333,36.90266667,0.131,22.18533333,880010.4763,0.880010476,35.18573212,AA,F,Chronic
147,I,7,AId,4.333333333,213.997,45.77266667,0.149333333,24.05133333,160957.1273,0.160957127,30.0297236,AA,F,Chronic
148,I,7,AIv,15.66666667,607.6333333,41.051,0.151666667,21.85866667,424279.4063,0.424279406,39.48145557,AA,F,Chronic
149,I,7,BLA,13,662.8153333,50.197,0.576,23.96766667,121497.935,0.121497935,112.6394676,AA,F,Chronic
150,I,7,BST,17.66666667,505.4976667,29.737,0.15,18.02933333,338278.3153,0.338278315,51.11311983,AA,F,Chronic
151,I,7,CEA,6.333333333,195.538,32.398,0.078333333,18.98233333,311100.507,0.311100507,24.96937544,AA,F,Chronic
152,I,7,CLA,6.333333333,347.4996667,51.581,0.556666667,25.40866667,54897.092,0.054897092,104.4876352,AA,F,Chronic
153,I,7,CP,147.75,5285.49,35.776,0.3025,21.5605,1876420.851,1.876420851,85.22204404,AA,F,Chronic
154,I,7,DG,9.666666667,404.0156667,42.49433333,0.382,22.17433333,107942.571,0.107942571,90.46054436,AA,F,Chronic
155,I,7,GPe,9.5,450.7435,38.101,0.3305,20.161,173518.8755,0.173518876,67.51869874,AA,F,Chronic
156,I,7,GPi,12,467.9965,36.34,0.371,20.4795,143526.1215,0.143526122,94.41785631,AA,F,Chronic
157,I,7,ILA,19,706.779,37.008,0.6055,22.592,121336.277,0.121336277,160.7450261,AA,F,Chronic
158,I,7,LH,2.5,99.2065,39.683,0.226,21.189,35686.352,0.035686352,56.91263999,AA,F,Chronic
159,I,7,LHA,63.66666667,2892.808,45.73133333,0.671,23.02833333,448866.893,0.448866893,148.1786547,AA,F,Chronic
